datetime,field1,field2,field3,field4
2020-11-01T01:00:00.000Z,5.6,16,6,712
2020-11-01T02:00:00.000Z,5.5,20,5.5,872
2020-11-01T03:00:00.000Z,6.1,15,7.3,1015
2020-11-01T04:00:00.000Z,8.4,22,6.4,756
2020-11-01T05:00:00.000Z,7.6,15,7.9,766
2020-11-01T06:00:00.000Z,6.5,22,5.8,976
2020-11-01T07:00:00.000Z,8.7,14,8.2,918
2020-11-01T08:00:00.000Z,7.6,17,7.5,812
2020-11-01T09:00:00.000Z,6.3,15,5.9,950
2020-11-01T10:00:00.000Z,7.8,15,5.2,669
2020-11-01T11:00:00.000Z,8.8,22,6.9,899
2020-11-01T12:00:00.000Z,5.3,19,6,805
2020-11-01T13:00:00.000Z,8.1,15,6.8,885
2020-11-01T14:00:00.000Z,8,20,6.9,935
2020-11-01T15:00:00.000Z,6.5,18,8.4,695
2020-11-01T16:00:00.000Z,8,15,5.6,652
2020-11-01T17:00:00.000Z,5.9,22,5.3,987
2020-11-01T18:00:00.000Z,7.7,16,6.6,921
2020-11-01T19:00:00.000Z,6.1,16,8,786
2020-11-01T20:00:00.000Z,6.3,16,7.1,998
2020-11-01T21:00:00.000Z,8.5,18,6.8,1007
2020-11-01T22:00:00.000Z,7.6,18,5.4,776
2020-11-01T23:00:00.000Z,5.5,14,7.1,941
2020-11-02T00:00:00.000Z,6.3,20,6.5,695
2020-11-02T01:00:00.000Z,6.9,22,8.3,963
2020-11-02T02:00:00.000Z,8.7,22,6.8,916
2020-11-02T03:00:00.000Z,8.2,18,5.3,864
2020-11-02T04:00:00.000Z,5.3,21,7.7,721
2020-11-02T05:00:00.000Z,6.4,17,6.8,802
2020-11-02T06:00:00.000Z,5.5,15,5.7,663
2020-11-02T07:00:00.000Z,6.7,16,8.5,1012
2020-11-02T08:00:00.000Z,8.7,22,7.6,781
2020-11-02T09:00:00.000Z,7.4,22,7.9,942
2020-11-02T10:00:00.000Z,5.5,15,8.2,740
2020-11-02T11:00:00.000Z,8.2,17,6.7,863
2020-11-02T12:00:00.000Z,6.6,20,6.2,939
2020-11-02T13:00:00.000Z,8.8,20,7.9,886
2020-11-02T14:00:00.000Z,7.7,14,7.2,919
2020-11-02T15:00:00.000Z,6,20,6.6,775
2020-11-02T16:00:00.000Z,8.6,20,7.9,769
2020-11-02T17:00:00.000Z,6.3,15,6.9,687
2020-11-02T18:00:00.000Z,5.7,17,6.9,1020
2020-11-02T19:00:00.000Z,7.7,20,6.5,750
2020-11-02T20:00:00.000Z,6.9,18,8.3,617
2020-11-02T21:00:00.000Z,7.4,14,7,698
2020-11-02T22:00:00.000Z,6.6,21,5.9,630
2020-11-02T23:00:00.000Z,6.7,17,5.3,812
2020-11-03T00:00:00.000Z,8.1,17,5.4,862
2020-11-03T01:00:00.000Z,7.1,17,7.5,673
2020-11-03T02:00:00.000Z,8.3,22,5.6,816
2020-11-03T03:00:00.000Z,7.2,16,5.1,861
2020-11-03T04:00:00.000Z,8.5,21,5.6,777
2020-11-03T05:00:00.000Z,8,19,7.2,864
2020-11-03T06:00:00.000Z,5.8,18,6.7,617
2020-11-03T07:00:00.000Z,6.5,19,6.1,735
2020-11-03T08:00:00.000Z,8.2,17,5.5,866
2020-11-03T09:00:00.000Z,8.8,14,7.8,760
2020-11-03T10:00:00.000Z,6.8,15,6.2,965
2020-11-03T11:00:00.000Z,5.7,20,7.2,761
2020-11-03T12:00:00.000Z,5.7,15,8,655
2020-11-03T13:00:00.000Z,6.4,20,6.1,670
2020-11-03T14:00:00.000Z,8.5,20,6.8,822
2020-11-03T15:00:00.000Z,5.5,17,7.6,876
2020-11-03T16:00:00.000Z,7.6,21,5.9,619
2020-11-03T17:00:00.000Z,6.6,21,6.6,631
2020-11-03T18:00:00.000Z,8.7,22,7.7,788
2020-11-03T19:00:00.000Z,8.5,20,6.8,938
2020-11-03T20:00:00.000Z,5.6,19,7.8,695
2020-11-03T21:00:00.000Z,7.6,19,6.2,710
2020-11-03T22:00:00.000Z,8.4,21,5.7,679
2020-11-03T23:00:00.000Z,7.1,22,7.6,868
2020-11-04T00:00:00.000Z,5.9,21,7.7,628
2020-11-04T01:00:00.000Z,6,19,7,933
2020-11-04T02:00:00.000Z,6.1,21,8,888
2020-11-04T03:00:00.000Z,7.9,20,6.2,744
2020-11-04T04:00:00.000Z,7.8,18,5.7,1013
2020-11-04T05:00:00.000Z,6.5,22,7.3,635
2020-11-04T06:00:00.000Z,7.8,20,7.2,645
2020-11-04T07:00:00.000Z,6.7,17,7.9,844
2020-11-04T08:00:00.000Z,8.9,21,5.9,966
2020-11-04T09:00:00.000Z,6.4,22,7.2,1016
2020-11-04T10:00:00.000Z,6.4,22,5.7,905
2020-11-04T11:00:00.000Z,7.6,14,7.3,960
2020-11-04T12:00:00.000Z,7.2,14,5.5,641
2020-11-04T13:00:00.000Z,6.3,19,7.5,925
2020-11-04T14:00:00.000Z,7.5,17,5.1,813
2020-11-04T15:00:00.000Z,6.1,17,5.4,1018
2020-11-04T16:00:00.000Z,6.9,18,7.4,701
2020-11-04T17:00:00.000Z,7.9,15,6.1,767
2020-11-04T18:00:00.000Z,6.8,21,5.3,768
2020-11-04T19:00:00.000Z,8.9,19,7.4,764
2020-11-04T20:00:00.000Z,5.9,21,5.4,634
2020-11-04T21:00:00.000Z,5.9,18,6.5,816
2020-11-04T22:00:00.000Z,5.7,20,5.3,1000
2020-11-04T23:00:00.000Z,6,15,5.4,735
2020-11-05T00:00:00.000Z,6.1,15,7.8,1025
2020-11-05T01:00:00.000Z,5.5,14,7.2,677
2020-11-05T02:00:00.000Z,7.8,18,7.8,812
2020-11-05T03:00:00.000Z,8.8,19,5.9,913
2020-11-05T04:00:00.000Z,7.9,16,5.3,856
2020-11-05T05:00:00.000Z,6.2,22,5.3,996
2020-11-05T06:00:00.000Z,5.4,21,5.4,909
2020-11-05T07:00:00.000Z,5.5,21,8.1,963
2020-11-05T08:00:00.000Z,6.9,19,5.6,724
2020-11-05T09:00:00.000Z,8.1,16,5.8,788
2020-11-05T10:00:00.000Z,8.8,17,5.1,749
2020-11-05T11:00:00.000Z,8.4,18,6,702
2020-11-05T12:00:00.000Z,6.8,16,7.1,1019
2020-11-05T13:00:00.000Z,5.8,19,6.5,741
2020-11-05T14:00:00.000Z,6,16,7.8,880
2020-11-05T15:00:00.000Z,8.5,15,7.4,659
2020-11-05T16:00:00.000Z,8.7,16,5.6,959
2020-11-05T17:00:00.000Z,8,22,7.8,939
2020-11-05T18:00:00.000Z,5.3,18,7.1,930
2020-11-05T19:00:00.000Z,6.7,15,6,951
2020-11-05T20:00:00.000Z,7.4,22,6.3,921
2020-11-05T21:00:00.000Z,7,18,6.4,893
2020-11-05T22:00:00.000Z,6.6,20,6.7,924
2020-11-05T23:00:00.000Z,6.6,18,5.7,689
2020-11-06T00:00:00.000Z,6,14,5.2,1006
2020-11-06T01:00:00.000Z,8.7,22,7.1,801
2020-11-06T02:00:00.000Z,6.6,20,6.3,858
2020-11-06T03:00:00.000Z,7.8,16,6.1,948
2020-11-06T04:00:00.000Z,7.6,14,6.1,781
2020-11-06T05:00:00.000Z,7.3,22,8.1,1008
2020-11-06T06:00:00.000Z,6.6,20,5.6,763
2020-11-06T07:00:00.000Z,5.8,14,7.1,741
2020-11-06T08:00:00.000Z,6.6,22,7.2,960
2020-11-06T09:00:00.000Z,7.2,20,7.3,963
2020-11-06T10:00:00.000Z,6.4,22,7.9,893
2020-11-06T11:00:00.000Z,6.4,18,7.7,772
2020-11-06T12:00:00.000Z,8.8,21,8,661
2020-11-06T13:00:00.000Z,6,20,5.8,902
2020-11-06T14:00:00.000Z,5.9,20,5.4,649
2020-11-06T15:00:00.000Z,8.6,21,7.6,758
2020-11-06T16:00:00.000Z,6.6,17,8.1,701
2020-11-06T17:00:00.000Z,7,17,6.6,656
